source_row_index,Ref ID,target,label
0,591206723,0,Pass
1,588916194,0,Pass
2,588916195,0,Pass
3,593821265,0,Pass
4,594624328,0,Pass
5,594624327,0,Pass
6,594624334,0,Pass
7,594624349,0,Pass
8,594624351,0,Pass
9,594624359,0,Pass
10,594624344,0,Pass
11,594624353,0,Pass
12,594624335,0,Pass
13,595466236,0,Pass
14,595466234,0,Pass
15,595466235,0,Pass
16,594624343,0,Pass
17,594624347,0,Pass
18,593052622,0,Pass
19,593052623,0,Pass
20,593052624,0,Pass
21,593052625,0,Pass
22,593052626,0,Pass
23,593052627,0,Pass
24,593052621,0,Pass
25,592095457,0,Pass
26,595068579,0,Pass
27,595068580,0,Pass
28,595149923,0,Pass
29,595149921,0,Pass
30,595149922,0,Pass
31,595149920,0,Pass
32,595149919,0,Pass
33,594084502,1,Fail
34,594951944,0,Pass
35,594732521,0,Pass
36,595178000,0,Pass
37,594624330,0,Pass
38,594624352,0,Pass
39,594624348,0,Pass
40,595643066,0,Pass
41,595643064,0,Pass
42,595643065,0,Pass
43,595643067,0,Pass
44,595466238,0,Pass
45,595466237,0,Pass
46,594624346,0,Pass
47,594624325,0,Pass
48,594624329,0,Pass
49,594624326,0,Pass
50,594624350,0,Pass
51,594655656,0,Pass
52,593792400,0,Pass
53,593764265,0,Pass
54,593764264,0,Pass
55,594597448,0,Pass
56,593751511,0,Pass
57,595377125,0,Pass
58,595377127,0,Pass
59,595377122,0,Pass
60,595377124,0,Pass
61,595068577,0,Pass
62,592435332,0,Pass
63,592435333,0,Pass
64,595382418,0,Pass
65,595382417,0,Pass
66,595643068,0,Pass
67,595382416,0,Pass
68,593792418,0,Pass
69,594624341,0,Pass
70,594624358,0,Pass
71,594535635,1,Fail
72,594535634,0,Pass
73,594535633,0,Pass
74,594535632,0,Pass
75,594535631,0,Pass
76,594624345,0,Pass
77,594624354,0,Pass
78,594624355,0,Pass
79,594624356,0,Pass
80,594624357,0,Pass
81,596116510,0,Pass
82,594624333,0,Pass
83,595466240,1,Fail
84,595466239,1,Fail
85,596111546,0,Pass
86,596116511,0,Pass
87,596116509,0,Pass
88,596116512,0,Pass
89,596381878,0,Pass
90,596381877,0,Pass
91,596381879,0,Pass
92,596381880,0,Pass
93,594624332,0,Pass
94,594624360,0,Pass
95,594624331,0,Pass
96,594624342,0,Pass
97,596893076,0,Pass
98,595389399,0,Pass
99,596283727,0,Pass
100,596213504,1,Fail
101,594624338,0,Pass
102,594624340,0,Pass
103,592939261,0,Pass
104,592939258,0,Pass
105,592939260,0,Pass
106,592939263,0,Pass
107,589098737,0,Pass
108,589098741,0,Pass
109,589098743,0,Pass
110,596952545,0,Pass
111,596952547,0,Pass
112,596552689,0,Pass
113,597328025,1,Fail
114,596493613,0,Pass
115,595466233,1,Fail
116,595466232,1,Fail
117,594634841,0,Pass
118,597326071,0,Pass
119,597326073,0,Pass
120,597326072,0,Pass
121,597326074,0,Pass
122,597326075,0,Pass
123,596538629,0,Pass
124,596362139,0,Pass
125,596729595,1,Fail
126,596729596,1,Fail
127,596213974,0,Pass
128,596552688,0,Pass
