feature,score,rank,selector,fold,selected_feature_count
star_last_position,0.0743782775435097,3,extra_trees_top_40,1,40
decorated_length,0.06693108469815447,4,extra_trees_top_40,1,40
base_length,0.0546284101852973,5,extra_trees_top_40,1,40
star_position_std,0.05045116458492242,6,extra_trees_top_40,1,40
star_mean_position,0.04910669675609835,7,extra_trees_top_40,1,40
rna_mean_position,0.047578991568077725,8,extra_trees_top_40,1,40
modified_token_last_position,0.04348068129080609,9,extra_trees_top_40,1,40
rna_last_position,0.03568974802758504,10,extra_trees_top_40,1,40
base_G_count,0.03148906948982015,11,extra_trees_top_40,1,40
methyl_position_std,0.028026641384737285,12,extra_trees_top_40,1,40
rna_position_std,0.027876007756380678,13,extra_trees_top_40,1,40
base_C_count,0.026906581979648035,14,extra_trees_top_40,1,40
token_rC_count,0.02312888856318607,15,extra_trees_top_40,1,40
rna_count_middle,0.016072598975497076,16,extra_trees_top_40,1,40
token_rG_count,0.014948310765109187,17,extra_trees_top_40,1,40
rna_count_5p,0.01290683970503877,18,extra_trees_top_40,1,40
rna_count_3p,0.011181150790941306,19,extra_trees_top_40,1,40
base_U_count,0.011074117855822005,20,extra_trees_top_40,1,40
modified_token_position_std,0.010732333533896908,21,extra_trees_top_40,1,40
token_rU_count,0.010020222760504289,22,extra_trees_top_40,1,40
methyl_mean_position,0.00833466702248165,23,extra_trees_top_40,1,40
longest_rU_run,0.007648168941139606,24,extra_trees_top_40,1,40
modified_token_mean_position,0.006942779818795467,25,extra_trees_top_40,1,40
base_T_count,0.006304057805740212,26,extra_trees_top_40,1,40
longest_rna_run,0.005651477197234654,27,extra_trees_top_40,1,40
rna_first_fraction,0.004660742528696288,28,extra_trees_top_40,1,40
star_first_fraction,0.0033474526043777626,29,extra_trees_top_40,1,40
slash_mod_span_fraction,0.0032313447351359115,30,extra_trees_top_40,1,40
au_fraction,0.0030564488136355576,31,extra_trees_top_40,1,40
longest_rC_run,0.0028429129748938618,32,extra_trees_top_40,1,40
max_gc_window_10,0.0028065744577335304,33,extra_trees_top_40,1,40
longest_rA_run,0.0027845454258413733,34,extra_trees_top_40,1,40
has_slash_mod,0.0027823339671873785,35,extra_trees_top_40,1,40
terminal_gc_count,0.002715295228031271,36,extra_trees_top_40,1,40
longest_homopolymer_run,0.002639717333549792,37,extra_trees_top_40,1,40
base_A_fraction,0.0025977634785446704,38,extra_trees_top_40,1,40
base_A_count,0.002542708486378422,39,extra_trees_top_40,1,40
base_C_fraction,0.0024662381844985422,40,extra_trees_top_40,1,40
token_length,0.7256912301340352,1,correlation_pruned_top_40,2,40
base_C_count,0.6784311643553967,2,correlation_pruned_top_40,2,40
rna_count_5p,0.658438823388928,3,correlation_pruned_top_40,2,40
base_G_count,0.6531600310398517,4,correlation_pruned_top_40,2,40
token_rG_count,0.6005673456514206,5,correlation_pruned_top_40,2,40
token_rU_count,0.5505379878841885,6,correlation_pruned_top_40,2,40
base_U_count,0.5402281394633347,7,correlation_pruned_top_40,2,40
modified_token_last_position,0.4954617760716617,8,correlation_pruned_top_40,2,40
rna_count_3p,0.4805524984139566,9,correlation_pruned_top_40,2,40
star_mean_position,0.47274536179295296,10,correlation_pruned_top_40,2,40
methyl_position_std,0.4596949130609736,11,correlation_pruned_top_40,2,40
longest_rna_run,0.3911338505404643,12,correlation_pruned_top_40,2,40
longest_rC_run,0.37786774076727375,13,correlation_pruned_top_40,2,40
longest_rG_run,0.3585314069148676,14,correlation_pruned_top_40,2,40
token_rC_fraction,0.3447888618842096,15,correlation_pruned_top_40,2,40
longest_gc_run,0.3424557886471551,16,correlation_pruned_top_40,2,40
base_C_fraction,0.3399715728529939,17,correlation_pruned_top_40,2,40
max_gc_window_10,0.3311804038473877,18,correlation_pruned_top_40,2,40
token_rG_fraction,0.2844650227536747,19,correlation_pruned_top_40,2,40
base_G_fraction,0.2593179397135375,20,correlation_pruned_top_40,2,40
star_count_3p,0.25805605067971465,21,correlation_pruned_top_40,2,40
base_A_fraction,0.25556095815394886,22,correlation_pruned_top_40,2,40
rna_density_5p,0.21766344822387385,23,correlation_pruned_top_40,2,40
star_density_5p,0.21457676174419818,24,correlation_pruned_top_40,2,40
slash_mod_first_position,0.20173855235494942,25,correlation_pruned_top_40,2,40
star_density_middle,0.17924649303685417,26,correlation_pruned_top_40,2,40
star_mean_fraction,0.17852328425143862,27,correlation_pruned_top_40,2,40
slash_mod_first_fraction,0.17105952619549286,28,correlation_pruned_top_40,2,40
token_mA_fraction,0.1624346044662345,29,correlation_pruned_top_40,2,40
lna_span_fraction,0.15822585616563686,30,correlation_pruned_top_40,2,40
methyl_density_5p,0.15302083200068328,31,correlation_pruned_top_40,2,40
token_mU_fraction,0.15098499447324643,32,correlation_pruned_top_40,2,40
modified_token_mean_fraction,0.13743280800371008,33,correlation_pruned_top_40,2,40
rna_first_fraction,0.133078868229634,34,correlation_pruned_top_40,2,40
longest_slash_mod_run,0.13217675851615707,35,correlation_pruned_top_40,2,40
longest_lA_run,0.1321676177347851,36,correlation_pruned_top_40,2,40
rna_span_fraction,0.1296059128294015,37,correlation_pruned_top_40,2,40
star_count,0.12804719714349455,38,correlation_pruned_top_40,2,40
slash_mod_count_middle,0.12522534732309065,39,correlation_pruned_top_40,2,40
token_rA_count,0.12224554369608659,40,correlation_pruned_top_40,2,40
modified_token_last_position,0.634626391783891,1,mutual_info_top_40,2,40
base_length,0.6210109421291512,2,mutual_info_top_40,2,40
token_length,0.6208696377105647,3,mutual_info_top_40,2,40
decorated_length,0.599499095912758,4,mutual_info_top_40,2,40
methyl_last_position,0.5943584625232092,5,mutual_info_top_40,2,40
star_last_position,0.5915036243405254,6,mutual_info_top_40,2,40
rna_first_fraction,0.5891110403545321,7,mutual_info_top_40,2,40
star_mean_position,0.587221985731293,8,mutual_info_top_40,2,40
star_first_fraction,0.5738582873738198,9,mutual_info_top_40,2,40
rna_position_std,0.5720303516134533,10,mutual_info_top_40,2,40
rna_mean_position,0.562243720786118,11,mutual_info_top_40,2,40
star_position_std,0.5591579656572208,12,mutual_info_top_40,2,40
methyl_position_std,0.5578726891937187,13,mutual_info_top_40,2,40
rna_span_fraction,0.5509360852530354,14,mutual_info_top_40,2,40
modified_token_position_std,0.546997438902447,15,mutual_info_top_40,2,40
rna_count_middle,0.5376412121346195,16,mutual_info_top_40,2,40
rna_last_position,0.5364367369518872,17,mutual_info_top_40,2,40
mod_density_5p,0.5316708614537604,18,mutual_info_top_40,2,40
methyl_density_5p,0.5316617640273114,19,mutual_info_top_40,2,40
modified_token_density_5p,0.530886805325073,20,mutual_info_top_40,2,40
mod_density_3p,0.5307025587159209,21,mutual_info_top_40,2,40
star_density_5p,0.5259594627148796,22,mutual_info_top_40,2,40
star_density,0.5187265523205151,23,mutual_info_top_40,2,40
modified_token_mean_position,0.5178385408042789,24,mutual_info_top_40,2,40
modified_token_density_3p,0.5139042119340855,25,mutual_info_top_40,2,40
rna_density_5p,0.5126003749584647,26,mutual_info_top_40,2,40
methyl_mean_position,0.510133416732399,27,mutual_info_top_40,2,40
rna_count_5p,0.5078379209016712,28,mutual_info_top_40,2,40
star_span_fraction,0.5076110066409343,29,mutual_info_top_40,2,40
rna_density_3p,0.5059266345140072,30,mutual_info_top_40,2,40
star_last_fraction,0.49808350507646315,31,mutual_info_top_40,2,40
rna_count_3p,0.4952128425317821,32,mutual_info_top_40,2,40
star_density_3p,0.49434650925663437,33,mutual_info_top_40,2,40
base_G_count,0.4921506395130657,34,mutual_info_top_40,2,40
methyl_density_3p,0.4846013089032235,35,mutual_info_top_40,2,40
longest_rna_run,0.4632104731601894,36,mutual_info_top_40,2,40
base_A_count,0.45876946457738876,37,mutual_info_top_40,2,40
base_C_count,0.45160274055376703,38,mutual_info_top_40,2,40
rna_last_fraction,0.4289422902442541,39,mutual_info_top_40,2,40
base_T_count,0.4251654894306731,40,mutual_info_top_40,2,40
token_length,0.10168957577312181,1,extra_trees_top_40,2,40
methyl_last_position,0.08429501863048375,2,extra_trees_top_40,2,40
star_last_position,0.07351593326800249,3,extra_trees_top_40,2,40
decorated_length,0.0722451638170236,4,extra_trees_top_40,2,40
base_length,0.0695714660531382,5,extra_trees_top_40,2,40
modified_token_last_position,0.04499804870161468,6,extra_trees_top_40,2,40
star_mean_position,0.04489166905736195,7,extra_trees_top_40,2,40
rna_mean_position,0.044250799277632875,8,extra_trees_top_40,2,40
star_position_std,0.041458005355778614,9,extra_trees_top_40,2,40
rna_last_position,0.0400846122568832,10,extra_trees_top_40,2,40
base_C_count,0.03356208603053548,11,extra_trees_top_40,2,40
rna_position_std,0.030856855672341532,12,extra_trees_top_40,2,40
base_G_count,0.029127080267297874,13,extra_trees_top_40,2,40
token_rC_count,0.025319117622930286,14,extra_trees_top_40,2,40
rna_count_middle,0.02070139979974105,15,extra_trees_top_40,2,40
methyl_position_std,0.019006980275490342,16,extra_trees_top_40,2,40
rna_count_5p,0.013319629094538231,17,extra_trees_top_40,2,40
rna_count_3p,0.011914900995728854,18,extra_trees_top_40,2,40
modified_token_position_std,0.011260953168979444,19,extra_trees_top_40,2,40
token_rG_count,0.010477926888964272,20,extra_trees_top_40,2,40
methyl_mean_position,0.007012857417282104,21,extra_trees_top_40,2,40
modified_token_mean_position,0.0066367476059378495,22,extra_trees_top_40,2,40
base_U_count,0.006499465427210177,23,extra_trees_top_40,2,40
longest_rU_run,0.006397693650511056,24,extra_trees_top_40,2,40
longest_rna_run,0.005989440610667986,25,extra_trees_top_40,2,40
token_rU_count,0.004870592813054509,26,extra_trees_top_40,2,40
longest_rC_run,0.004776182199267418,27,extra_trees_top_40,2,40
star_first_fraction,0.004414997860691235,28,extra_trees_top_40,2,40
star_mean_fraction,0.004097369546516654,29,extra_trees_top_40,2,40
rna_first_fraction,0.003656173307257338,30,extra_trees_top_40,2,40
base_T_count,0.003176931675208153,31,extra_trees_top_40,2,40
base_A_count,0.003070544799564364,32,extra_trees_top_40,2,40
gc_fraction,0.003032686369347373,33,extra_trees_top_40,2,40
au_fraction,0.002996853961105855,34,extra_trees_top_40,2,40
max_gc_window_10,0.0026954851083641884,35,extra_trees_top_40,2,40
star_last_fraction,0.002534164798805173,36,extra_trees_top_40,2,40
has_slash_mod,0.002470335735202698,37,extra_trees_top_40,2,40
star_span_fraction,0.0024500349527037187,38,extra_trees_top_40,2,40
token_rA_count,0.0023516591464841714,39,extra_trees_top_40,2,40
longest_star_run,0.0023123575418749526,40,extra_trees_top_40,2,40
token_length,0.7200013887639871,1,correlation_pruned_top_40,3,40
base_C_count,0.6797842725819022,2,correlation_pruned_top_40,3,40
rna_last_position,0.6644972388753649,3,correlation_pruned_top_40,3,40
rna_count_5p,0.6582136349663298,4,correlation_pruned_top_40,3,40
base_G_count,0.6561661545353551,5,correlation_pruned_top_40,3,40
token_rG_count,0.609295977397221,6,correlation_pruned_top_40,3,40
token_rU_count,0.5439656067950911,7,correlation_pruned_top_40,3,40
base_U_count,0.5250278961649908,8,correlation_pruned_top_40,3,40
modified_token_last_position,0.48178610213222256,9,correlation_pruned_top_40,3,40
rna_count_3p,0.47756689186065887,10,correlation_pruned_top_40,3,40
star_mean_position,0.4574459002894694,11,correlation_pruned_top_40,3,40
methyl_position_std,0.45550348849278954,12,correlation_pruned_top_40,3,40
longest_rna_run,0.38872583528456317,13,correlation_pruned_top_40,3,40
longest_rC_run,0.3851741560011112,14,correlation_pruned_top_40,3,40
token_rC_fraction,0.3697044872715978,15,correlation_pruned_top_40,3,40
longest_rG_run,0.36920976423085267,16,correlation_pruned_top_40,3,40
base_C_fraction,0.36336817433683855,17,correlation_pruned_top_40,3,40
max_gc_window_10,0.34985394142482057,18,correlation_pruned_top_40,3,40
longest_gc_run,0.34547522829620714,19,correlation_pruned_top_40,3,40
token_rG_fraction,0.30834707157298885,20,correlation_pruned_top_40,3,40
base_G_fraction,0.2808495005278663,21,correlation_pruned_top_40,3,40
base_A_fraction,0.26939636332845374,22,correlation_pruned_top_40,3,40
star_count_3p,0.2513959569522149,23,correlation_pruned_top_40,3,40
rna_density_5p,0.21864828203975184,24,correlation_pruned_top_40,3,40
star_density_5p,0.20422730936220407,25,correlation_pruned_top_40,3,40
slash_mod_first_position,0.18910450371751678,26,correlation_pruned_top_40,3,40
star_density_middle,0.18108550419997782,27,correlation_pruned_top_40,3,40
star_mean_fraction,0.17295587798195833,28,correlation_pruned_top_40,3,40
token_mA_fraction,0.16462987852951316,29,correlation_pruned_top_40,3,40
slash_mod_first_fraction,0.16347032879208556,30,correlation_pruned_top_40,3,40
token_mU_fraction,0.15456284595712674,31,correlation_pruned_top_40,3,40
methyl_density_5p,0.14633875425201165,32,correlation_pruned_top_40,3,40
rna_first_fraction,0.14115616099543912,33,correlation_pruned_top_40,3,40
modified_token_mean_fraction,0.1382848400879144,34,correlation_pruned_top_40,3,40
longest_slash_mod_run,0.1313695987226328,35,correlation_pruned_top_40,3,40
rna_span_fraction,0.1301550018310633,36,correlation_pruned_top_40,3,40
lna_position_std,0.1267627536599962,37,correlation_pruned_top_40,3,40
token_lT_count,0.12573710957003326,38,correlation_pruned_top_40,3,40
slash_mod_count_middle,0.124824459016068,39,correlation_pruned_top_40,3,40
star_count,0.1236689023759591,40,correlation_pruned_top_40,3,40
token_length,0.6215571167560272,1,mutual_info_top_40,3,40
decorated_length,0.6170539811026368,2,mutual_info_top_40,3,40
modified_token_last_position,0.6118527846133972,3,mutual_info_top_40,3,40
base_length,0.6068432922997804,4,mutual_info_top_40,3,40
methyl_last_position,0.5883103451617631,5,mutual_info_top_40,3,40
rna_position_std,0.5881445195484307,6,mutual_info_top_40,3,40
rna_mean_position,0.5843823108630248,7,mutual_info_top_40,3,40
star_mean_position,0.5786270000765814,8,mutual_info_top_40,3,40
rna_first_fraction,0.5772129504005674,9,mutual_info_top_40,3,40
star_last_position,0.571811515056539,10,mutual_info_top_40,3,40
star_position_std,0.5683750287162619,11,mutual_info_top_40,3,40
star_first_fraction,0.5656832142302402,12,mutual_info_top_40,3,40
modified_token_position_std,0.5652917889326265,13,mutual_info_top_40,3,40
rna_density_5p,0.5560824036529355,14,mutual_info_top_40,3,40
modified_token_density_5p,0.5454122180884045,15,mutual_info_top_40,3,40
mod_density_5p,0.5449337419803979,16,mutual_info_top_40,3,40
methyl_mean_position,0.5410152968682658,17,mutual_info_top_40,3,40
methyl_position_std,0.5361037282852279,18,mutual_info_top_40,3,40
rna_density_3p,0.5296054499237735,19,mutual_info_top_40,3,40
rna_last_position,0.5284475414308814,20,mutual_info_top_40,3,40
star_density_5p,0.5263226927660565,21,mutual_info_top_40,3,40
rna_span_fraction,0.5230586866728744,22,mutual_info_top_40,3,40
modified_token_mean_position,0.5209346720131998,23,mutual_info_top_40,3,40
mod_density_3p,0.5170701034348819,24,mutual_info_top_40,3,40
methyl_density_5p,0.5160760746949244,25,mutual_info_top_40,3,40
rna_count_middle,0.5139922980152445,26,mutual_info_top_40,3,40
modified_token_density_3p,0.5119037029589459,27,mutual_info_top_40,3,40
star_density,0.5116749457641339,28,mutual_info_top_40,3,40
star_last_fraction,0.5003878091445659,29,mutual_info_top_40,3,40
longest_rna_run,0.49388222873810284,30,mutual_info_top_40,3,40
rna_count_5p,0.490662507513107,31,mutual_info_top_40,3,40
star_density_3p,0.4871513739040134,32,mutual_info_top_40,3,40
base_G_count,0.48556155222231423,33,mutual_info_top_40,3,40
star_span_fraction,0.4826016025985278,34,mutual_info_top_40,3,40
rna_count_3p,0.48134549279420025,35,mutual_info_top_40,3,40
methyl_density_3p,0.47709778934824243,36,mutual_info_top_40,3,40
base_A_count,0.4656879483384313,37,mutual_info_top_40,3,40
base_C_count,0.43349757138679346,38,mutual_info_top_40,3,40
rna_last_fraction,0.4269613948405433,39,mutual_info_top_40,3,40
token_rG_count,0.42328422784881026,40,mutual_info_top_40,3,40
token_length,0.09818273731101801,1,extra_trees_top_40,3,40
decorated_length,0.07841785396303302,2,extra_trees_top_40,3,40
star_last_position,0.07816791048461547,3,extra_trees_top_40,3,40
base_length,0.07387844431624584,4,extra_trees_top_40,3,40
methyl_last_position,0.07106250737750516,5,extra_trees_top_40,3,40
rna_last_position,0.04482573128282254,6,extra_trees_top_40,3,40
star_mean_position,0.04268572083512151,7,extra_trees_top_40,3,40
rna_mean_position,0.04030660516105937,8,extra_trees_top_40,3,40
modified_token_last_position,0.03981535427823415,9,extra_trees_top_40,3,40
base_C_count,0.0387405781386392,10,extra_trees_top_40,3,40
star_position_std,0.034983982513576574,11,extra_trees_top_40,3,40
base_G_count,0.031171472359669102,12,extra_trees_top_40,3,40
rna_position_std,0.028574886822895426,13,extra_trees_top_40,3,40
token_rC_count,0.025578071141228297,14,extra_trees_top_40,3,40
rna_count_middle,0.02205947156642364,15,extra_trees_top_40,3,40
methyl_position_std,0.021211319798825082,16,extra_trees_top_40,3,40
token_rG_count,0.020696722341900196,17,extra_trees_top_40,3,40
rna_count_5p,0.015429127689461102,18,extra_trees_top_40,3,40
rna_count_3p,0.012113790981662402,19,extra_trees_top_40,3,40
methyl_mean_position,0.009316624251726002,20,extra_trees_top_40,3,40
modified_token_position_std,0.008603321052589305,21,extra_trees_top_40,3,40
modified_token_mean_position,0.008599919426108658,22,extra_trees_top_40,3,40
base_T_count,0.00810415054004406,23,extra_trees_top_40,3,40
base_U_count,0.0063140489115895825,24,extra_trees_top_40,3,40
longest_rU_run,0.006001596880101069,25,extra_trees_top_40,3,40
longest_rna_run,0.0056944572945687435,26,extra_trees_top_40,3,40
au_fraction,0.0034826890557846674,27,extra_trees_top_40,3,40
longest_rC_run,0.003370261226846509,28,extra_trees_top_40,3,40
star_first_fraction,0.0031312828452114555,29,extra_trees_top_40,3,40
longest_rA_run,0.002983709088522654,30,extra_trees_top_40,3,40
repeated_dinucleotide_count,0.0029630225461454466,31,extra_trees_top_40,3,40
max_gc_window_10,0.0029472646566548947,32,extra_trees_top_40,3,40
gc_fraction,0.002805910118753371,33,extra_trees_top_40,3,40
base_G_fraction,0.0027570269216658947,34,extra_trees_top_40,3,40
rna_first_fraction,0.0027445877829377387,35,extra_trees_top_40,3,40
terminal_gc_count,0.002713372817806088,36,extra_trees_top_40,3,40
base_A_fraction,0.0024739485754174018,37,extra_trees_top_40,3,40
base_C_fraction,0.0024080270959967905,38,extra_trees_top_40,3,40
longest_homopolymer_run,0.0023898410162146466,39,extra_trees_top_40,3,40
has_slash_mod,0.0023691177828089956,40,extra_trees_top_40,3,40
token_length,0.7134381077009837,1,correlation_pruned_top_40,4,40
base_C_count,0.6827844719927725,2,correlation_pruned_top_40,4,40
rna_last_position,0.6612857861689709,3,correlation_pruned_top_40,4,40
base_G_count,0.6553849710695351,4,correlation_pruned_top_40,4,40
rna_count_5p,0.6512320287146246,5,correlation_pruned_top_40,4,40
token_rG_count,0.6103913917129572,6,correlation_pruned_top_40,4,40
token_rU_count,0.542014489285554,7,correlation_pruned_top_40,4,40
base_U_count,0.5235971517574965,8,correlation_pruned_top_40,4,40
rna_count_3p,0.48079503241944155,9,correlation_pruned_top_40,4,40
modified_token_last_position,0.47055731295367237,10,correlation_pruned_top_40,4,40
star_mean_position,0.447610356878109,11,correlation_pruned_top_40,4,40
methyl_position_std,0.4407665124134679,12,correlation_pruned_top_40,4,40
longest_rC_run,0.3864176590015258,13,correlation_pruned_top_40,4,40
longest_rna_run,0.3854633746786793,14,correlation_pruned_top_40,4,40
token_rC_fraction,0.3815773423001873,15,correlation_pruned_top_40,4,40
base_C_fraction,0.3764298879034907,16,correlation_pruned_top_40,4,40
longest_rG_run,0.3738335314822965,17,correlation_pruned_top_40,4,40
max_gc_window_10,0.3510964163841683,18,correlation_pruned_top_40,4,40
longest_gc_run,0.3455812003513662,19,correlation_pruned_top_40,4,40
token_rG_fraction,0.31151745088393323,20,correlation_pruned_top_40,4,40
base_A_fraction,0.28114320791029374,21,correlation_pruned_top_40,4,40
base_G_fraction,0.27775189156095553,22,correlation_pruned_top_40,4,40
star_count_3p,0.23814349609746766,23,correlation_pruned_top_40,4,40
rna_density_5p,0.22442750715510007,24,correlation_pruned_top_40,4,40
star_density_5p,0.21257476504349257,25,correlation_pruned_top_40,4,40
slash_mod_first_position,0.2004234099472013,26,correlation_pruned_top_40,4,40
slash_mod_first_fraction,0.17904332268370543,27,correlation_pruned_top_40,4,40
star_density_middle,0.17602514539407643,28,correlation_pruned_top_40,4,40
token_mA_fraction,0.17601683819150743,29,correlation_pruned_top_40,4,40
methyl_density_5p,0.1659506358159013,30,correlation_pruned_top_40,4,40
token_mU_fraction,0.16542226579305044,31,correlation_pruned_top_40,4,40
star_mean_fraction,0.16391417256284288,32,correlation_pruned_top_40,4,40
star_first_position,0.1431625494023531,33,correlation_pruned_top_40,4,40
rna_span_fraction,0.14126700731554373,34,correlation_pruned_top_40,4,40
token_lA_count,0.13913374986650925,35,correlation_pruned_top_40,4,40
rna_first_fraction,0.13469870415237448,36,correlation_pruned_top_40,4,40
longest_slash_mod_run,0.1334843566675137,37,correlation_pruned_top_40,4,40
longest_rU_run,0.12818243903611468,38,correlation_pruned_top_40,4,40
longest_lG_run,0.12348940892752414,39,correlation_pruned_top_40,4,40
token_rU_fraction,0.12246904356702916,40,correlation_pruned_top_40,4,40
token_length,0.6203550713067325,1,mutual_info_top_40,4,40
decorated_length,0.6200147072255997,2,mutual_info_top_40,4,40
base_length,0.6113612397437844,3,mutual_info_top_40,4,40
modified_token_last_position,0.5952171597251605,4,mutual_info_top_40,4,40
rna_position_std,0.5856025174192374,5,mutual_info_top_40,4,40
star_first_fraction,0.5799804918890081,6,mutual_info_top_40,4,40
methyl_last_position,0.576227183604912,7,mutual_info_top_40,4,40
star_last_position,0.5712037242925225,8,mutual_info_top_40,4,40
methyl_position_std,0.5701638540639604,9,mutual_info_top_40,4,40
star_mean_position,0.560759422813371,10,mutual_info_top_40,4,40
modified_token_position_std,0.5527797957065692,11,mutual_info_top_40,4,40
star_position_std,0.5521859596837131,12,mutual_info_top_40,4,40
modified_token_density_5p,0.538972475339373,13,mutual_info_top_40,4,40
rna_mean_position,0.5385834273121914,14,mutual_info_top_40,4,40
methyl_mean_position,0.5320447421409304,15,mutual_info_top_40,4,40
rna_first_fraction,0.5290947678728086,16,mutual_info_top_40,4,40
