feature,plot_file,pass_count,fail_count,pass_mean,fail_mean,pass_median,fail_median,pass_std,fail_std,mean_difference_fail_minus_pass,median_difference_fail_minus_pass,mannwhitney_u,mannwhitney_p,rank_biserial,welch_t,welch_p,ks_statistic,ks_p,cohen_d
token_lT_count,analysis/feature_target_plots/token_lT_count.png,2560,86,0.002734375,0.18604651162790697,0.0,0.0,0.071222395981403,0.8473019866816949,0.18331213662790696,0.0,115036.0,7.553427346740651e-14,0.045021802325581506,2.006091249268014,0.048024799806176376,0.046511627906976744,0.9899112044354206,1.0957059238036144
token_lA_count,analysis/feature_target_plots/token_lA_count.png,2560,86,0.002734375,0.1744186046511628,0.0,0.0,0.071222395981403,0.7998802920013391,0.17168422965116278,0.0,115036.0,7.553473515028681e-14,0.045021802325581506,1.9902003820871181,0.0497809932981269,0.046511627906976744,0.9899112044354206,1.07558645719186
token_lA_fraction,analysis/feature_target_plots/token_lA_fraction.png,2560,86,2.1222529520515232e-05,0.0014298723716580778,0.0,0.0,0.0005525351155845766,0.006632790769705992,0.0014086498421375625,0.0,115036.0,7.553519683579242e-14,0.045021802325581506,1.9692704431482209,0.052177956624935365,0.046511627906976744,0.9899112044354206,1.0772818990789308
token_lT_fraction,analysis/feature_target_plots/token_lT_fraction.png,2560,86,2.1222529520515232e-05,0.001510064833566659,0.0,0.0,0.0005525351155845766,0.006904511900228435,0.0014888423040461437,0.0,115036.0,7.553519683579242e-14,0.045021802325581506,1.999485377519626,0.048748533181477045,0.046511627906976744,0.9899112044354206,1.1011673248735778
longest_lT_run,analysis/feature_target_plots/longest_lT_run.png,2560,86,0.0015625,0.08139534883720931,0.0,0.0,0.0395052936930895,0.3824108132568419,0.07983284883720931,0.0,115034.0,7.728736197692706e-14,0.0450036337209303,1.9356322617417618,0.05623469066114345,0.04494912790697674,0.9932276397939467,1.0129152627367604
longest_lA_run,analysis/feature_target_plots/longest_lA_run.png,2560,86,0.0015625,0.046511627906976744,0.0,0.0,0.0395052936930895,0.21182549667042372,0.04494912790697674,0.0,115028.0,8.27875879326043e-14,0.044949127906976694,1.9667025608924633,0.05247255290695608,0.04494912790697674,0.9932276397939467,0.8271615522613343
longest_lC_run,analysis/feature_target_plots/longest_lC_run.png,2560,86,0.001171875,0.03488372093023256,0.0,0.0,0.044187265246061015,0.18456144639815766,0.033711845930232555,0.0,113832.5,8.210461956427443e-13,0.03408884447674421,1.6922831602674204,0.09424075160129551,0.03410247093023256,0.9999221222312114,0.6170556166513437
token_lC_count,analysis/feature_target_plots/token_lC_count.png,2560,86,0.001953125,0.03488372093023256,0.0,0.0,0.07124811035934396,0.18456144639815766,0.03293059593023256,0.0,113831.0,8.383631578618185e-13,0.03407521802325575,1.650530000765961,0.10248842649437202,0.03410247093023256,0.9999221222312114,0.424843260781707
token_lC_fraction,analysis/feature_target_plots/token_lC_fraction.png,2560,86,1.52587890625e-05,0.00029732374648308373,0.0,0.0,0.0005566258621823747,0.0015731222412542678,0.00028206495742058373,0.0,113831.0,8.383669120600797e-13,0.03407521802325575,1.659298427927225,0.10071038501704964,0.03410247093023256,0.9999221222312114,0.45791363855023093
token_lG_fraction,analysis/feature_target_plots/token_lG_fraction.png,2560,86,3.0038718756626326e-05,0.0009154173406004896,0.0,0.0,0.000717284963838963,0.004285055383304917,0.0008853786218438633,0.0,114992.0,2.7699223414566267e-12,0.044622093023255704,1.9152149032439052,0.058821650867951665,0.046121002906976745,0.9908327031030248,0.8487188604471971
token_lG_count,analysis/feature_target_plots/token_lG_count.png,2560,86,0.00390625,0.11627906976744186,0.0,0.0,0.09263823990961922,0.5619002350462284,0.11237281976744186,0.0,114987.5,2.899121689373597e-12,0.044581213662790775,1.8537582757581363,0.06723624169821148,0.04494912790697674,0.9932276397939467,0.8271615522613345
longest_lG_run,analysis/feature_target_plots/longest_lG_run.png,2560,86,0.00234375,0.05813953488372093,0.0,0.0,0.05586345737134666,0.2809501175231142,0.05579578488372093,0.0,114985.5,2.958406290305499e-12,0.04456304505813957,1.8404888057433584,0.06917681033074206,0.044558502906976744,0.9939110781337045,0.7484172305550342
lna_count_middle,analysis/feature_target_plots/lna_count_middle.png,2560,86,0.0109375,0.5116279069767442,0.0,0.0,0.233643307197202,2.3300804633746606,0.5006904069767442,0.0,114954.0,4.697271755912759e-11,0.044276889534883734,1.9923894978343837,0.0495353655803063,0.046511627906976744,0.9899112044354206,1.0500185400802757
lna_position_std,analysis/feature_target_plots/lna_position_std.png,2560,86,0.003076980680438089,0.33738752440755787,0.0,0.0,0.06598645482754466,1.619745728229218,0.33431054372711977,0.0,114954.0,4.697289639322272e-11,0.044276889534883734,1.9139930208014038,0.058985817609904165,0.046511627906976744,0.9899112044354206,1.1234068025571375
lna_density_middle,analysis/feature_target_plots/lna_density_middle.png,2560,86,0.0002531216966173361,0.012503726893261773,0.0,0.0,0.00540206929212773,0.057161342780135904,0.012250605196644438,0.0,114954.0,4.697292619896038e-11,0.044276889534883734,1.987189139702165,0.05011970735570869,0.046511627906976744,0.9899112044354206,1.061121775691187
